category,product_name,brand,price,Product_Id,size,item_num,love_count,rating,reviews_count,link
Makeup/Face/Face Sets,Mini Loose Highlighter set,Anastasia Beverly Hills,30.0,P451598,na,2289577,6437,5,1,https://www.sephora.com/product/mini-loose-highlighter-set-P451598?icid2=products
Makeup/Eye/Eye Palettes,Norvina Pro Pigment Palette Vol. 1,Anastasia Beverly Hills,60.0,P448161,na,2270551,23189,4.7692,91,https://www.sephora.com/product/norvina-pro-pigment-vol-1-P448161?icid2=products
Men/Other Needs/Body Products,Invigorating Rush Hair + Body Wash,Anthony,55.0,P376886,32 oz/ 946 mL,1652817,2010,4.5581,43,https://www.sephora.com/product/invigorating-rush-hair-body-wash-P376886?icid2=products
Men/Shaving/Shaving,Ingrown Hair Treatment,Anthony,32.0,P170545,2.5 oz/ 74 mL,1605591,7095,4.209,134,https://www.sephora.com/product/ingrown-hair-treatment-P170545?icid2=products
Men/Skincare/Moisturizer & Treatments,Glycolic Exfoliating & Resurfacing Wipes,Anthony,18.0,P397373,30 wipes,1710177,5602,4.5231,65,https://www.sephora.com/product/glycolic-exfoliating-resurfacing-wipes-P397373?icid2=products
Men/Skincare/Face Wash,Glycolic Facial Cleanser,Anthony,28.0,P9038,8 oz/ 237 mL,1629278,4390,4.3856,223,https://www.sephora.com/product/glycolic-facial-cleanser-P9038?icid2=products
Men/Shaving/Aftershave,After Shave Balm,Anthony,22.0,P9024,2.5 oz/ 75 mL,1605609,1753,4.7606,71,https://www.sephora.com/product/after-shave-balm-P9024?icid2=products
Men/Skincare/Face Wash,Facial Scrub,Anthony,36.0,P9036,8 oz/ 237 mL,1605567,2232,4.5352,71,https://www.sephora.com/product/facial-scrub-P9036?icid2=products
Men/Shaving/Shaving,Shave Cream,Anthony,18.5,P9022,6 oz/ 177 mL,1605575,1768,4.7474,194,https://www.sephora.com/product/shave-cream-P9022?icid2=products
Men/Skincare/Moisturizer & Treatments,Oil Free Facial Lotion,Anthony,30.0,P112400,2.5 oz,1605526,1008,4.381,42,https://www.sephora.com/product/oil-free-facial-lotion-P112400?icid2=products
Men/Skincare/Moisturizer & Treatments,Astringent Toner Pads,Anthony,26.0,P189131,60 Pads,1605559,3407,4.6574,108,https://www.sephora.com/product/astringent-toner-pads-P189131?icid2=products
Men/Skincare/Eye Cream,High Performance Continuous Moisture Eye Cream,Anthony,38.0,P72706,0.75 oz/ 22 mL,1605666,2897,4.1944,36,https://www.sephora.com/product/high-performance-continuous-moisture-eye-cream-P72706?icid2=products
Men/Skincare/Moisturizer & Treatments,High Performance Vitamin C Facial Serum,Anthony,46.0,P72704,1 oz/ 30 mL,1605674,2979,4.4211,38,https://www.sephora.com/product/high-performance-vitamin-c-facial-serum-P72704?icid2=products
Men/Skincare/Sunscreen,Day Cream Broad Spectrum Sunscreen SPF 30,Anthony,34.0,P386498,3 oz,1887173,594,3.7143,7,https://www.sephora.com/product/day-cream-broad-spectrum-sunscreen-spf-30-P386498?icid2=products
Makeup/Cheek/Blush,Certified Organic Baked Blush,Antonym,36.0,P421434,0.28 oz/ 8 g,1977487,8973,4.2045,44,https://www.sephora.com/product/certified-organic-baked-blush-P421434?icid2=products
Makeup/Eye/Eyeliner,Certified Natural Waterproof Eye Pencil,Antonym,19.0,P421433,0.04 oz/ 1.4 g,1977578,1563,3.3846,13,https://www.sephora.com/product/certified-natural-waterproof-eye-pencil-P421433?icid2=products
Makeup/Face/Foundation,Skin Esteem Organic Liquid Foundation,Antonym,52.0,P425621,1.06 oz/ 30 mL,2016269,2180,3.375,24,https://www.sephora.com/product/skin-esteem-organic-liquid-foundation-P425621?icid2=products
Makeup/Eye/Eye Palettes,Certified Organic Eyeshadow Quattro,Antonym,39.0,P421436,0.21 oz/ 6 g,1977537,5695,4.25,8,https://www.sephora.com/product/certified-organic-eyeshadow-quattro-P421436?icid2=products
Makeup/Cheek/Blush,Organic Certified Highlighting Blush,Antonym,42.0,P421619,0.28 oz/ 8 g,1977511,3198,4,13,https://www.sephora.com/product/organic-certified-highlighting-blush-P421619?icid2=products
Makeup/Face/Highlighter,Certified Organic Highlighter,Antonym,42.0,P421437,0.28 oz/ 8 g,1977529,3741,3.6316,19,https://www.sephora.com/product/certified-organic-highlighter-P421437?icid2=products
Hair/Hair Tools/Hair Accessories,Lisse Luxe Hair Turban,Aquis,30.0,P410897,Desert Rose,1855956,26496,4.2451,257,https://www.sephora.com/product/lisse-luxe-hair-turban-P410897?icid2=products
Hair/Hair Tools/Hair Accessories,Lisse Luxe Hair Towel,Aquis,30.0,P412766,19 x 42 in/ 50 x 107 cm,1883768,9337,4.6101,954,https://www.sephora.com/product/lisse-luxe-hair-towel-P412766?icid2=products
Hair/Hair Tools/Hair Accessories,Lisse Luxe Long Hair Towel,Aquis,35.0,P412783,19 x 52 in / 50 x 132 cm,1883834,13701,4.4497,149,https://www.sephora.com/product/lisse-luxe-long-hair-towel-P412783?icid2=products
Hair/Hair Tools/Hair Accessories,Waffle Luxe Hair Turban,Aquis,40.0,P410734,Blush,2200426,14582,4.3643,140,https://www.sephora.com/product/waffle-luxe-hair-turban-P410734?icid2=products
Hair/Hair Tools/Hair Accessories,03 Prime Rapid-Dry Hair Turban,Aquis,30.0,P437295,na,2146181,3816,4.5185,27,https://www.sephora.com/product/03-prime-rapid-dry-hair-turban-P437295?icid2=products
Hair/Hair Tools/Hair Accessories,Waffle Luxe Long Hair Towel,Aquis,45.0,P412784,19 x 52 in / 50 x 132 cm,1883875,6290,4.48,75,https://www.sephora.com/product/waffle-luxe-long-hair-towel-P412784?icid2=products
Hair/Value & Gift Sets,Prime Starter Kit,Aquis,49.0,P437297,na,2287399,2177,4.1713,537,https://www.sephora.com/product/prime-starter-kit-P437297?icid2=products
Hair/Hair Styling & Treatments/Scalp & Hair Treatments,01 Prime Water Defense PreWash,Aquis,29.0,P437294,12 oz/ 354 mL,2146173,2239,4.4767,386,https://www.sephora.com/product/01-prime-water-defense-pre-wash-P437294?icid2=products
