category,product_name,brand,price,Product_Id,size,item_num,love_count,rating,reviews_count,link
Skincare/Moisturizers/Moisturizers,No Worries Hydrating Face Moisturizer,Dr Roebuck's,45.0,P430835,1.69 oz/ 50 mL,2075539,4587,4.1955,220,https://www.sephora.com/product/no-worries-hydrating-face-moisturizer-P430835?icid2=products
Skincare/Eye Care/Eye Creams & Treatments,Down Under Collagen Boosting Eye Treatment,Dr Roebuck's,38.0,P430833,0.5 oz/ 15 mL,2075638,7471,3.7021,94,https://www.sephora.com/product/down-under-collagen-boosting-eye-treatment-P430833?icid2=products
Skincare/Cleansers/Toners,Lifesaver Skin Brightening Toner,Dr Roebuck's,28.0,P430828,3.38 oz/ 100 mL,2075620,3058,4.5714,14,https://www.sephora.com/product/lifesaver-skin-brightening-toner-P430828?icid2=products
Skincare/Masks/Face Masks,Uluru Purifying Mask,Dr Roebuck's,28.0,P430829,1.69 oz/ 50 mL,2075505,3621,4.7895,19,https://www.sephora.com/product/uluru-purifying-mask-P430829?icid2=products
Skincare/Masks/Face Masks,Daintree AHA Brightening Mask,Dr Roebuck's,28.0,P430831,1.69 oz/ 50 mL,2065886,2427,4.7857,14,https://www.sephora.com/product/daintree-aha-brightening-mask-P430831?icid2=products
Skincare/Cleansers/Exfoliators,Byron 2-in-1 Mask + Scrub,Dr Roebuck's,30.0,P430825,1.69 oz/ 50 mL,2075646,3958,4.4444,72,https://www.sephora.com/product/byron-2-in-1-mask-scrub-P430825?icid2=products
Skincare/Treatments/Face Serums,Perky Collagen Boosting Serum,Dr Roebuck's,60.0,P430824,1 oz/ 30 mL,2075562,2172,3.9444,36,https://www.sephora.com/product/perky-collagen-boosting-serum-P430824?icid2=products
Skincare/Masks/Face Masks,Tama Healing Mask,Dr Roebuck's,28.0,P430830,1.69 oz/ 50 mL,2075513,2713,4.1429,14,https://www.sephora.com/product/tama-healing-mask-P430830?icid2=products
Skincare/Treatments/Face Serums,Ningaloo Copper Peptide Firming Serum,Dr Roebuck's,68.0,P449404,1.01 oz/ 30 mL,2269694,1340,3.4,5,https://www.sephora.com/product/ningaloo-copper-peptide-firming-serum-P449404?icid2=products
Skincare/Treatments/Face Serums,True Blue Hydrating Serum,Dr Roebuck's,60.0,P430837,1 oz/ 30 mL,2075661,1681,4.4762,21,https://www.sephora.com/product/true-blue-hydrating-serum-P430837?icid2=products
Skincare/Treatments/Face Serums,Surf Chaser Reverse Aging Serum,Dr Roebuck's,60.0,P430836,1 oz/ 30 mL,2075554,717,3.875,16,https://www.sephora.com/product/surf-chaser-reverse-aging-serum-P430836?icid2=products
Skincare/Cleansers/Face Wash & Cleansers,Noosa Nourishing Crème Cleanser,Dr Roebuck's,25.0,P430823,3.38 oz/ 100 mL,2075588,1129,4.1429,35,https://www.sephora.com/product/noosa-nourishing-cr-me-cleanser-P430823?icid2=products
Skincare/Value & Gift Sets,Advent Calendar,Dr. Barbara Sturm,495.0,P449632,na,2270239,622,3.8,5,https://www.sephora.com/product/dr-barbara-sturm-advent-calendar-P449632?icid2=products
Skincare/Treatments/Face Serums,Hyaluronic Serum,Dr. Barbara Sturm,300.0,P447212,1 oz/ 30 mL,2269892,1802,2.6222,90,https://www.sephora.com/product/dr-barbara-sturm-hyaluronic-serum-P447212?icid2=products
Skincare/Value & Gift Sets,Winter Essentials Kit,Dr. Barbara Sturm,215.0,P451979,na,2289213,409,5,1,https://www.sephora.com/product/dr-barbara-sturm-winter-essentials-kit-P451979?icid2=products
Skincare/Moisturizers/Moisturizers,Face Cream,Dr. Barbara Sturm,215.0,P447781,1.69 oz/ 50 mL,2269967,1147,4.6,5,https://www.sephora.com/product/dr-barbara-sturm-face-cream-P447781?icid2=products
Skincare/Treatments/Face Serums,Super Anti-Aging Serum,Dr. Barbara Sturm,350.0,P447787,1 oz/ 30 mL,2269900,1247,3.2,10,https://www.sephora.com/product/dr-barbara-sturm-super-anti-aging-serum-P447787?icid2=products
Skincare/Treatments/Face Serums,Glow Drops,Dr. Barbara Sturm,145.0,P447782,1 oz/ 30 mL,2269926,2573,3.1667,12,https://www.sephora.com/product/dr-barbara-sturm-glow-drops-P447782?icid2=products
Skincare/Cleansers/Face Wash & Cleansers,Cleanser,Dr. Barbara Sturm,70.0,P447783,5 oz/ 150 mL,2269991,1254,5,9,https://www.sephora.com/product/dr-barbara-sturm-cleanser-P447783?icid2=products
Skincare/Treatments/Face Serums,Anti-Pollution Drops,Dr. Barbara Sturm,145.0,P447790,1 oz/ 30 mL,2269959,1423,5,5,https://www.sephora.com/product/dr-barbara-sturm-anti-pollution-drops-P447790?icid2=products
Skincare/Value & Gift Sets,Discovery Kit,Dr. Barbara Sturm,110.0,P448552,na,2270213,2169,2.5,4,https://www.sephora.com/product/dr-barbara-sturm-discovery-kit-P448552?icid2=products
Skincare/Treatments/Face Serums,Calming Serum,Dr. Barbara Sturm,250.0,P447788,1 oz/ 30 mL,2269918,801,3.8333,6,https://www.sephora.com/product/dr-barbara-sturm-calming-serum-P447788?icid2=products
Skincare/Moisturizers/Moisturizers,Face Cream Light,Dr. Barbara Sturm,205.0,P449601,1.69 oz/ 50 mL,2278653,252,5,1,https://www.sephora.com/product/dr-barbara-sturm-face-cream-light-P449601?icid2=products
Skincare/Value & Gift Sets,Flight Essentials Kit,Dr. Barbara Sturm,225.0,P449603,na,2278703,1175,3,2,https://www.sephora.com/product/dr-barbara-sturm-flight-essentials-kit-P449603?icid2=products
Makeup/Face/Face Primer,pores no more® pore refiner primer,Dr. Brandt Skincare,22.0,P139005,1 oz,1161629,94106,4.2589,3113,https://www.sephora.com/product/pores-no-more-pore-refiner-primer-P139005?icid2=products
Skincare/Cleansers/Exfoliators,microdermabrasion age defying exfoliator,Dr. Brandt Skincare,79.0,P45503,2 oz,1161520,43111,4.6608,1247,https://www.sephora.com/product/microdermabrasion-age-defying-exfoliator-P45503?icid2=products
Skincare/Eye Care/Eye Creams & Treatments,needles no more® NO MORE BAGGAGE™ eye de-puffing gel,Dr. Brandt Skincare,42.0,P421759,0.5 oz/ 15 g,1966878,21847,3.6752,1213,https://www.sephora.com/product/no-more-baggage-eye-de-puffing-gel-P421759?icid2=products
Skincare/Moisturizers/Decollete & Neck Creams,needles no more® Neck Sculpting Cream,Dr. Brandt Skincare,95.0,P440302,1.7 oz/ 50 g,2167633,3328,3.9565,23,https://www.sephora.com/product/needles-no-more-neck-sculpting-cream-P440302?icid2=products
Skincare/Eye Care/Eye Creams & Treatments,Do Not Age with Dr. Brandt Triple Peptide Eye Cream,Dr. Brandt Skincare,82.0,P383053,0.5 oz/ 15 mL,1564483,7573,4.2602,123,https://www.sephora.com/product/do-not-age-with-dr-brandt-triple-peptide-eye-cream-P383053?icid2=products
Skincare/Treatments/Face Serums,Needles No More™ Wrinkle Smoothing Cream,Dr. Brandt Skincare,89.0,P391802,0.5 oz,1658434,12663,3.4234,444,https://www.sephora.com/product/needles-no-more-P391802?icid2=products
Skincare/Moisturizers/Decollete & Neck Creams,Do Not Age with Dr. Brandt Moisturizing Neck Cream,Dr. Brandt Skincare,67.0,P383052,1.7 oz/ 50 mL,1564475,5278,4.069,87,https://www.sephora.com/product/do-not-age-with-dr-brandt-moisturizing-neck-cream-P383052?icid2=products
Skincare/Masks/Face Masks,pores no more® Vacuum Cleaner® Pore Purifying Mask,Dr. Brandt Skincare,42.0,P429662,1 oz/ 30 g,2062933,8013,4.0294,170,https://www.sephora.com/product/pores-no-more-vacuum-cleaner-pore-purifying-mask-P429662?icid2=products
Skincare/Treatments/Face Serums,Dark Spots No More® Triple Acid Spot Minimizing Concentrate,Dr. Brandt Skincare,68.0,P453822,0.5 oz/ 15 mL,2304111,491,na,na,https://www.sephora.com/product/dr-brandt-skincare-dark-spots-no-more-triple-acid-spot-minimizing-concentrate-P453822?icid2=products
Skincare/Masks/Face Masks,Hydro Biotic™ Recovery Sleeping Mask,Dr. Brandt Skincare,52.0,P427397,na,2027860,10663,4.5977,1039,https://www.sephora.com/product/hydro-biotic-tm-recovery-sleeping-mask-P427397?icid2=products
Skincare/Moisturizers/Moisturizers,Do Not Age with Dr. Brandt Time Reversing Cream,Dr. Brandt Skincare,132.0,P383051,1.7 oz / 50 mL,1564467,2040,4.2055,73,https://www.sephora.com/product/do-not-age-with-dr-brandt-time-reversing-cream-P383051?icid2=products
Skincare/Cleansers/Exfoliators,PoreDermabrasion™ Pore Perfecting Exfoliator,Dr. Brandt Skincare,58.0,P397310,2 oz,1709831,17001,4.2364,275,https://www.sephora.com/product/poredermabrasion-pore-perfecting-exfoliator-P397310?icid2=products
Skincare/Treatments/Facial Peels,Alpha Beta® Extra Strength Daily Peel,Dr. Dennis Gross Skincare,17.0,P269122,30 Treatments + 5 Bonus ,1499482,105696,4.5595,5022,https://www.sephora.com/product/alpha-beta-peel-extra-strength-daily-peel-P269122?icid2=products
Skincare/High Tech Tools/Anti-Aging,SpectraLite™ Faceware Pro,Dr. Dennis Gross Skincare,435.0,P435378,na,2109718,10318,4.6071,28,https://www.sephora.com/product/spectralite-faceware-pro-P435378?icid2=products
Skincare/Treatments/Facial Peels,Alpha Beta® Universal Daily Peel,Dr. Dennis Gross Skincare,17.0,P377533,30 Treatments + 5 Bonus,1499474,53055,4.5049,1020,https://www.sephora.com/product/alpha-beta-universal-daily-peel-P377533?icid2=products
