product_name,brand,category,price,size,love_count,rating,reviews_count,category_1,category_2,category_3,size_oz,size_mL,size_g
No.09 Vallée de Farney Perfume Oil,Maison Louis Marie,Fragrance/Women/Lotions & Oils,57.0,0.50 oz/ 15mL,644,4.0,7,Fragrance,Women,Lotions & Oils,0.50,,
No.09 Vallée de Farney Eau de Parfum,Maison Louis Marie,Fragrance/Women/Perfume,85.0,1.7 oz/ 50 mL,748,4.8571,7,Fragrance,Women,Perfume,1.7,50,
No.04 Bois de Balincourt Body Lotion,Maison Louis Marie,Fragrance/Women/Lotions & Oils,45.0,8 oz /237mL,564,3.8,5,Fragrance,Women,Lotions & Oils,8,,
No.03 L'Etang Noir Perfume Oil,Maison Louis Marie,Fragrance/Women/Lotions & Oils,57.0,0.5 oz/ 15 mL,418,4.5833,12,Fragrance,Women,Lotions & Oils,0.5,15,
No.03 L'Etang Noir Perfume Oil,Maison Louis Marie,Fragrance/Women/Lotions & Oils,57.0,0.5 oz/ 15 mL,0,0.0,0,Fragrance,Women,Lotions & Oils,0.5,15,
No.05 Kandilli Candle,Maison Louis Marie,Bath & Body/Candles & Home Scents,34.0,8 oz/ 236 g,1607,4.0,9,Bath & Body,Candles & Home Scents,no info,8,,236
’REPLICA’ By The Fireplace,MAISON MARGIELA,Fragrance/Women/Perfume,126.0,3.4 oz/ 100 mL,39154,4.398,784,Fragrance,Women,Perfume,3.4,100,
’REPLICA’ Jazz Club,MAISON MARGIELA,Fragrance/Men/Cologne,28.0,3.4 oz/ 100 mL,17737,4.6216,399,Fragrance,Men,Cologne,3.4,100,
’REPLICA’ Beach Walk,MAISON MARGIELA,Fragrance/Women/Perfume,28.0,3.4 oz/ 100 mL,35747,4.227,806,Fragrance,Women,Perfume,3.4,100,
‘REPLICA' Deluxe Mini Coffret Set,MAISON MARGIELA,Fragrance/Value & Gift Sets/Perfume Gift Sets,68.0,na,9787,4.6,15,Fragrance,Value & Gift Sets,Perfume Gift Sets,,,
’REPLICA’ By The Fireplace Travel Spray,MAISON MARGIELA,Fragrance/Women/Perfume,28.0,0.34 oz/ 10 mL,0,4.6667,24,Fragrance,Women,Perfume,0.34,10,
"'REPLICA' Travel Spray Set - Jazz Club, Whispers In The Library, By The Fireplace",MAISON MARGIELA,Fragrance/Value & Gift Sets/Cologne Gift Sets,65.0,3 x 0.34 oz/ 10 mL,3062,4.75,8,Fragrance,Value & Gift Sets,Cologne Gift Sets,,,
’REPLICA’ Sailing Day,MAISON MARGIELA,Fragrance/Women/Perfume,126.0,3.4 oz/ 100 mL,10539,4.3113,106,Fragrance,Women,Perfume,3.4,100,
